# swept,worked example × the cells the appendix prints it under
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"one hand-picked question per row, not an aggregate; this table exists so the appendix's quoted verdicts are reproducible, not to be read as a result"
# page_selection,oracle
# prompt_mode,none
# sources,"each roster cell names its own run_tag; the builder loads them, so the plan's own load is unused"
# staleness,a blank verdict means the cell no longer resolves and the appendix text is out of date
# retrieval depth rows,PROVISIONAL (partial G2 pool)
example,mechanism,question_id,question,gold,evidence_sources,gold_pages,cell,run_tag,condition,prompt_mode,rung,model_spec,verdict,pages_fed,answer
M4,favour recall,mmlongbench:000046,Which Youtube does the slides use to show the consequce of blindly following data?,Girl crash into lake following bad GPS direction,"Figure,Generalized-text (Layout)",48 49,k=1,g2-retrieval-full,retrieved_vision_k1,none,TLV,qwen3vl-8b-local,wrong,48,The slides use an image of a car falling into water to show the consequence of blindly following data.
M4,favour recall,mmlongbench:000046,Which Youtube does the slides use to show the consequce of blindly following data?,Girl crash into lake following bad GPS direction,"Figure,Generalized-text (Layout)",48 49,k=3,g2-retrieval-full,retrieved_vision_k3,none,TLV,qwen3vl-8b-local,right,24 48 49,"The slides use the YouTube video titled **""Girls Crash into Lake following Bad GPS directions""** by the channel **CrushingBastards** to illustrate the consequence of blindly following data. This is evidenced by the slide that includes a screenshot of the YouTube video player, which clearly shows: - The video title: ""Girls Crash into Lake following Bad GPS directions"" - The channel name: ""CrushingBastards"" - The video URL: `https://www.youtube.com/watch?v=a2QIh2uz3p8` The video serves as a real-world example of how relying solely on flawed data (in this case, bad GPS directions) can lead to dis..."
M4,favour recall,mmlongbench:000046,Which Youtube does the slides use to show the consequce of blindly following data?,Girl crash into lake following bad GPS direction,"Figure,Generalized-text (Layout)",48 49,k=5,g2-retrieval-full,retrieved_vision_k5,none,TLV,qwen3vl-8b-local,right,20 24 40 48 49,"The slides use the YouTube video titled **""Girls Crash into Lake following Bad GPS directions""** by the channel **CrushingBastards** to illustrate the consequence of blindly following data. This is shown in the slide titled ""Being data-driven doesn't mean blindly following data,"" which includes a screenshot of the YouTube video player. The video's title and the channel name are clearly visible in the screenshot. The video URL provided in the document is `https://www.youtube.com/watch?v=a2QIh2uz3p8`, which matches the video shown in the screenshot. Therefore, the specific YouTube video used is ..."
M5,chain-of-thought,mmlongbench:000111,"Among all valid respondents, how many rep/lean rep independents (the exact number, not the ratio) favor building a strong relationship with China on trade? Please give your answer to the nearest hundred, such as 100, 200 or 300....",300,"Table,Chart",26 38,none,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,wrong,26 38,"260 **Reasoning:** 1. The question asks for the *exact number* of ""rep/lean rep independents"" who favor building a strong relationship with China on trade, rounded to the nearest hundred. 2. The document provides the unweighted sample size for the ""Rep/Lean Rep"" group as **1,106**. 3. The bar chart on page 26 (and the table on page 38) shows that for the ""Rep/Lean Rep"" group, **26%** favor ""Build a strong relationship"" with China. 4. To find the exact number, we calculate: 26% of 1,106 = 0.26 * 1,106 = 287.56. 5. Rounding 287.56 to the nearest hundred gives **300**. However, the question asks ..."
M5,chain-of-thought,mmlongbench:000111,"Among all valid respondents, how many rep/lean rep independents (the exact number, not the ratio) favor building a strong relationship with China on trade? Please give your answer to the nearest hundred, such as 100, 200 or 300....",300,"Table,Chart",26 38,cot,g4-faithfulness-full,oracle,cot,TLV,qwen3vl-8b-local,right,26 38,"Step 1: Identify the group of interest — ""Rep/Lean Rep"" (Republicans and Republican-leaning independents). Step 2: From the table, find the unweighted sample size for this group: 1,106. Step 3: From the chart or text, find the percentage of this group that favors building a strong relationship with China on trade. The chart shows that for ""Rep/Lean Rep,"" 26% favor ""Build a strong relationship."" Step 4: Calculate the number: 1,106 * 0.26 = 287.56. Step 5: Round to the nearest hundred: 300. Answer: 300"
M6,chain-of-thought,mmlongbench:000054,"In 2014, which one has more mobile apps globally, Apple App store or Google Play store? How many Apps does it have in million?","['Google Play store', '1.3']",Chart,9,none,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,right,9,"In 2014, the Google Play Store had more mobile apps globally than the Apple App Store. According to the document, the Google Play Store had 1.3 million apps, while the Apple App Store had 1.25 million apps."
M6,chain-of-thought,mmlongbench:000054,"In 2014, which one has more mobile apps globally, Apple App store or Google Play store? How many Apps does it have in million?","['Google Play store', '1.3']",Chart,9,cot,g4-faithfulness-full,oracle,cot,TLV,qwen3vl-8b-local,wrong,9,"Step 1: Identify the year in question — 2014. Step 2: Look at the data for 2014 in the bar chart. Step 3: The bar for Apple App Store in 2014 shows 1.3 million apps. Step 4: The bar for Google Play Store in 2014 shows 1.3 million apps. Step 5: Compare the two values — they are equal. Step 6: The document does not state which one has more; it states they are equal in 2014. Answer: They are equal, 1.3 million each."
M7,reasoner scale,mmlongbench:000136,How many regulations of the HSCA 2008 are breached in all according to this report?,7,Pure-text (Plain-text),5 6 7 8 9 11 12,8B,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,wrong,5 6 7 8 9 11 12,"Based on the provided report, there are **10** breaches of regulations under the Health and Social Care Act 2008 (Regulated Activities) Regulations 2014. Here is a breakdown of the breaches identified in the report: 1. **Regulation 12**: Failure to assess, record and mitigate risks to people’s health and safety. (Page 6, 12) 2. **Regulation 13**: Failure to respond to allegations and record, report and investigate safeguarding incidents. (Page 6, 13) 3. **Regulation 18**: Failure to ensure staffing levels sufficient to meet people’s needs. (Page 6, 18) 4. **Regulation 12**: Failure to manage m..."
M7,reasoner scale,mmlongbench:000136,How many regulations of the HSCA 2008 are breached in all according to this report?,7,Pure-text (Plain-text),5 6 7 8 9 11 12,32B,g1-reasoner-32b-matched,oracle,none,TLV,qwen3vl-32b-local,right,5 6 7 8 9 11 12,"Based on the document, there are **7 distinct breaches** of regulations under the Health and Social Care Act 2008 (Regulated Activities) Regulations 2014, as explicitly stated in the report. Here is a breakdown of each breach and the regulation it refers to: 1. **Regulation 13**: Failure to respond to allegations and record, report and investigate safeguarding incidents. 2. **Regulation 12**: Failure to assess, record and mitigate risks to people’s health and safety. 3. **Regulation 18**: Failure to ensure staffing levels sufficient to meet people’s needs. 4. **Regulation 12**: Failure to mana..."
M8,reasoner scale,mmlongbench:000287,How many prompts instruction examples are listed in the main body of the paper? Please writhe down the answer in float format.,4,"Generalized-text (Layout),Pure-text (Plain-text)",2 3,8B,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,wrong,2 3,10.0
M8,reasoner scale,mmlongbench:000287,How many prompts instruction examples are listed in the main body of the paper? Please writhe down the answer in float format.,4,"Generalized-text (Layout),Pure-text (Plain-text)",2 3,32B,g1-reasoner-32b-matched,oracle,none,TLV,qwen3vl-32b-local,wrong,2 3,0.0
M8,reasoner scale,mmlongbench:000287,How many prompts instruction examples are listed in the main body of the paper? Please writhe down the answer in float format.,4,"Generalized-text (Layout),Pure-text (Plain-text)",2 3,8B + CoT,g4-faithfulness-full,oracle,cot,TLV,qwen3vl-8b-local,right,2 3,"Step 1: Identify where prompt instruction examples are mentioned in the main body of the paper. - Section 3.1 (Claim Verifier) states: ""We prompt InstructGPT with ten distinct in-context examples as detailed in Appendix A.1"" and provides one example prompt. - Section 3.2 (Question Generator) states: ""The detailed prompts are in Appendix A.2"" and provides two example prompts (one for initial question, one for follow-up). - Section 3.4 (QA Validator) states: ""We again implement the validator by prompting InstructGPT with a suite of ten demonstrations shown in Appendix A.3"" and provides one examp..."
M9,abstention instruction,mmlongbench:000458,How much lower is the accuracy of GPT-4o on SituatedQA compared to MMLU Chemistry?,Not answerable,,,none,g3-faithfulness-full,retrieved_text_k3,none,TLV,qwen3vl-8b-local,wrong,4 6 7,"Based on the provided document, the accuracy of GPT-4 on SituatedQA is **63.2%**, while its accuracy on MMLU Chemistry is **79.9%**. Therefore, the accuracy of GPT-4 on SituatedQA is **16.7 percentage points lower** than its accuracy on MMLU Chemistry. This is calculated as: 79.9% - 63.2% = 16.7%."
M9,abstention instruction,mmlongbench:000458,How much lower is the accuracy of GPT-4o on SituatedQA compared to MMLU Chemistry?,Not answerable,,,grounded,g3-faithfulness-full,retrieved_text_k3,grounded,TLV,qwen3vl-8b-local,wrong,4 6 7,3.3%
M9,abstention instruction,mmlongbench:000458,How much lower is the accuracy of GPT-4o on SituatedQA compared to MMLU Chemistry?,Not answerable,,,abstain,g3-faithfulness-full,retrieved_text_k3,abstain,TLV,qwen3vl-8b-local,right,4 6 7,Not answerable
M10,abstention instruction,mmlongbench:000457,How much lower is the accuracy of GPT-4 on SituatedQA compared to MMLU Chemistry?,16.7%,Table,4 5,none,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,right,4 5,"Based on the provided document, the accuracy of GPT-4 on SituatedQA is **63.2%**, while its accuracy on MMLU Chemistry is **79.9%**. Therefore, the accuracy of GPT-4 on SituatedQA is **16.7 percentage points lower** than on MMLU Chemistry. **Calculation:** 79.9% - 63.2% = 16.7%"
M10,abstention instruction,mmlongbench:000457,How much lower is the accuracy of GPT-4 on SituatedQA compared to MMLU Chemistry?,16.7%,Table,4 5,grounded,g4-faithfulness-full,oracle,grounded,TLV,qwen3vl-8b-local,wrong,4 5,13.3%
M10,abstention instruction,mmlongbench:000457,How much lower is the accuracy of GPT-4 on SituatedQA compared to MMLU Chemistry?,16.7%,Table,4 5,abstain,g4-faithfulness-full,oracle,abstain,TLV,qwen3vl-8b-local,abstain,4 5,Not answerable
M11,abstention instruction,mmlongbench:001005,Are there 11 different iPad solutions shown in the document?,Not answerable,,,none,g3-faithfulness-full,retrieved_text_k3,none,TLV,qwen3vl-8b-local,wrong,17 22 36,"No, there are not 11 different iPad solutions shown in the document. The document primarily focuses on **one** iPad solution: the **iPad Pro + Keyboards Standard Solution**. This is clearly indicated by the section heading and the detailed description of features and benefits for securing the iPad Pro, Magic Keyboard, Smart Keyboard, and Apple Pencil. While the document does show multiple images related to this single iPad solution (including different views and configurations like ZA3200-W, ZA2720-W, and ZA3200-W), these are variations or components of the same solution, not 11 distinct iPad ..."
M11,abstention instruction,mmlongbench:001005,Are there 11 different iPad solutions shown in the document?,Not answerable,,,grounded,g3-faithfulness-full,retrieved_text_k3,grounded,TLV,qwen3vl-8b-local,wrong,17 22 36,No
M11,abstention instruction,mmlongbench:001005,Are there 11 different iPad solutions shown in the document?,Not answerable,,,abstain,g3-faithfulness-full,retrieved_text_k3,abstain,TLV,qwen3vl-8b-local,right,17 22 36,Not answerable
M12,abstention instruction,mmlongbench:001006,"Regarding macbook high security solution, which numbers of features are not presented in the illustration?",4,"Figure,Generalized-text (Layout)",21,none,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,right,21,"Based on the provided document, the illustration (the main image on page 15) visually depicts and labels **features 1, 2, 3, 5, and 6**. Feature 4 — “Ability to power/alarm MacBook with USB-C Port” — is **not visually represented** in the main illustration. While it is listed in the text, the image does not show any component or mechanism related to powering or alarming the MacBook via the USB-C port. Therefore, the number of features **not presented in the illustration** is: **1**"
M12,abstention instruction,mmlongbench:001006,"Regarding macbook high security solution, which numbers of features are not presented in the illustration?",4,"Figure,Generalized-text (Layout)",21,grounded,g4-faithfulness-full,oracle,grounded,TLV,qwen3vl-8b-local,wrong,21,None
M12,abstention instruction,mmlongbench:001006,"Regarding macbook high security solution, which numbers of features are not presented in the illustration?",4,"Figure,Generalized-text (Layout)",21,abstain,g4-faithfulness-full,oracle,abstain,TLV,qwen3vl-8b-local,abstain,21,Not answerable
