# swept,page_set transition (oracle → each sufficiency rule / +k distractors) × ranking source × evidence source
# dataset,mmlongbench
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,page_set rule (colqwen3 / bm25 ranking)
# prompt_mode,none
# pivot,"oracle cells loaded from g1-representation-full by the builder and paired per (question, rung)"
# pairing,"within-question, oracle and perturbed page set both status==ok; pooled over the four rungs"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
# reading,"does a dropped gold page or an added distractor cost text-carried and graphical evidence alike, or land on one of them"
block,transition,ranker,evidence_source,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n,questions
robustness (gold 3),oracle -> +3 distractors,bm25,Generalized-text (Layout)†,10.0 (2),5.0 (1),50.0 (10),35.0 (7),20,5
robustness (gold 3),oracle -> +3 distractors,bm25,Pure-text (Plain-text)†,4.4 (3),11.8 (8),25.0 (17),58.8 (40),68,17
robustness (gold 3),oracle -> +3 distractors,bm25,Table†,3.6 (1),32.1 (9),14.3 (4),50.0 (14),28,7
robustness (gold 3),oracle -> +3 distractors,bm25,**All sources**,6.9 (11),11.9 (19),24.4 (39),56.9 (91),160,40
robustness (gold 3),oracle -> +3 distractors,colqwen3,Chart†,0.0 (0),0.0 (0),33.3 (4),66.7 (8),12,3
robustness (gold 3),oracle -> +3 distractors,colqwen3,Figure†,3.9 (3),11.8 (9),19.7 (15),64.5 (49),76,19
robustness (gold 3),oracle -> +3 distractors,colqwen3,Generalized-text (Layout)†,10.0 (2),20.0 (4),35.0 (7),35.0 (7),20,5
robustness (gold 3),oracle -> +3 distractors,colqwen3,Pure-text (Plain-text)†,7.4 (5),4.4 (3),32.4 (22),55.9 (38),68,17
robustness (gold 3),oracle -> +3 distractors,colqwen3,Table†,7.1 (2),7.1 (2),39.3 (11),46.4 (13),28,7
robustness (gold 3),oracle -> +3 distractors,colqwen3,**All sources**,5.6 (9),8.8 (14),27.5 (44),58.1 (93),160,40
n (per col),-,-,-,-,-,-,-,-,-
